prefix,uri,rdfxml,turtle/n3,ntriples,rdfa,xml schema,json
aers,http://aers.data2semantics.org/resource/,,,,,,
admssw,http://purl.org/adms/sw/,https://joinup.ec.europa.eu/svn/adms_foss/adms_sw_v1.00/adms_sw_v1.00.rdf,,,,,
pay,http://purl.org/commerce/payment#,,,,,,
npgx,http://ns.nature.com/extensions/,,,,,,
rssynd,http://web.resource.org/rss/1.0/modules/syndication/,,,,,,
person,http://www.w3.org/ns/person#,,,,,,
pkmn,http://pokedex.dataincubator.org/pkm/,,,,,,
osmsemnet,http://spatial.ucd.ie/2012/08/osmsemnet/,,,,,,
food,http://data.lirmm.fr/ontologies/food#,,,,,,
asn,http://purl.org/ASN/schema/core/,http://s3.amazonaws.com/jestatic/purl/schema/standard#,,,,,
wn20,http://www.w3.org/2006/03/wn/wn20/,http://www.w3.org/2006/03/wn/wn20/schemas/wnfull.rdfs,,,,,
eseduc,http://www.purl.org/ontologia/eseduc#,,,,,,
genea,http://www.owl-ontologies.com/generations.owl#,,,,,,
owltime,http://www.w3.org/TR/owl-time#,,,,,,
laposte,http://data.lirmm.fr/ontologies/laposte#,,,,,,
dco,http://deepcarbon.net/,,,,,,
lex,http://purl.org/lex#,,,,,,
oa,http://www.w3.org/ns/openannotation/core/,,,,,,
hgnc,http://bio2rdf.org/hgnc:,,,,,,
atomrdf,http://atomowl.org/ontologies/atomrdf#,,,,,,
gawd,http://gawd.atlantides.org/terms/,,,,,,
marshall,http://sites.google.com/site/xgmaitc/,,,,,,
disco,http://vocab.ddialliance.org/discovery#,,,,,,
bd,http://www.bigdata.com/rdf/search#,,,,,,
dssn,http://purl.org/net/dssn/,,,,,,
prefix,http://prefix.cc/,,,,,,
gsp,http://www.opengis.net/ont/geosparql#,http://schemas.opengis.net/geosparql/1.0/geosparql_vocab_all.rdf,,,,,
lyou,http://purl.org/linkingyou/,,http://openorg.ecs.soton.ac.uk/linkingyou/linkingyou.ttl,,,,
cidoccrm,http://purl.org/NET/cidoc-crm/core#,,http://bloody-byte.net/rdf/cidoc-crm/core_5.0.1.ttl,,,,
gxa,http://www.ebi.ac.uk/gxa/,,,,,,
aersv,http://aers.data2semantics.org/vocab/,,,,,,
fos,http://futurios.org/fos/spec/,,,,,,
oarj,http://opendepot.org/reference/linked/1.0/,,,,,,
l4a,http://labels4all.info/ns/,,,,,,
jjd,http://www.joshuajeeson.com/,,,,,,
oax,http://www.w3.org/ns/openannotation/extensions/,,,,,,
w3po,http://purl.org/provenance#,,http://od-w3p.googlecode.com/svn/trunk/w3po.ttl,,,,
photoshop,http://ns.adobe.com/photoshop/1.0/,,,,,,
pronom,http://reference.data.gov.uk/technical-registry/,,,,,,
daisy,http://www.daisy.org/z3998/2012/vocab/,,,,,,
bing,http://bing.com/schema/media/,,,,,,
md,http://www.w3.org/ns/md#,,,,,,
rad,http://www.w3.org/ns/rad#,,,,,,
qa,http://www.mit.jyu.fi/ai/TRUST_Ontologies/QA.owl#,,,,,,
ssso,http://purl.org/ontology/ssso#,http://gbv.github.com/ssso/ssso.owl,http://gbv.github.com/ssso/ssso.ttl,,,,
